Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,1169,1048,1158,1124,1209,1085,1068,1090,1138,1098
2,1080,1156,1158,1044,1017,1020,1142,1124,1048,1119
3,1136,1142,1008,1115,1079,1021,1012,1111,1091,1159
4,1048,1123,1156,1020,1097,1041,1175,1079,1052,1117
5,1080,1156,1044,1132,1097,1123,1059,1117,1073,1020
6,1052,1156,1117,1123,1020,1079,1097,1073,1201,1089
7,1044,1080,1156,1123,1132,1059,1099,1101,1073,1024
8,1008,1115,1094,1156,1079,1020,1110,1142,1159,1021
9,3,20,12,21,2,9,7,10,19,1
10,1142,1146,1091,1137,1094,1148,1110,1118,1079,1021
11,1154,1115,1025,1104,1212,1201,1159,1094,1142,1151
12,1136,1010,1001,1089,1190,1022,1199,1002,1094,1142
13,1020,1156,1163,1123,1188,1142,1012,1151,1094,1021
14,1098,1063,1001,1054,1156,1174,1231,1182,1085,1111
15,1080,1123,1132,1156,1097,1229,1185,1109,1073,1040
16,1231,1156,1071,1126,1182,1196,1106,1168,1189,1212
17,1126,1116,1054,1063,1070,1139,1147,1085,1104,1110
18,1001,1118,1083,1182,1010,1104,1174,1015,1116,1119
19,1012,1091,1142,1063,1001,1094,1159,1137,1151,1018
20,1063,1091,1113,1094,1142,1118,1146,1083,1232,1231
21,1080,1117,1132,1097,1059,1044,1156,1123,1109,1229
