Etappe,P1,P2,P3
1,18,16,3
2,18,3,7
3,18,16,3
4,10,16,15
5,11,5,19
6,18,5,2
7,14,11,22
8,18,16,2
9,16,2,18
10,18,16,13
11,16,2,18
12,16,12,2
13,1,2,20
14,18,11,3
15,15,10,3
16,6,7,21
17,20,16,2
18,18,16,3
19,18,14,11
20,18,13,10
21,11,2,18
