Etappe,R1,R2,R3,R4,R5
1,91,46,87,138,35
2,45,46,134,163,1
3,45,46,163,134,1
4,45,46,163,134,28
5,45,37,46,67,147
6,45,37,46,67,147
7,45,37,46,67,126
8,45,37,7,67,10
9,121,45,186,37,7
10,45,7,10,74,121
11,45,7,10,74,121
12,45,7,10,74,109
13,45,10,74,109,127
14,45,10,74,109,127
15,45,10,74,109,127
16,45,10,109,73,74
17,45,10,109,73,74
18,45,109,73,10,74
19,45,109,73,10,74
20,45,73,109,10,127
21,45,73,109,10,127
