Etappe,R1,R2,R3
1,43607,37581,36193
2,43607,37581,36193
3,37581,36193,43607
4,37581,36193,43607
5,36875,37581,36097
6,36875,37581,36097
7,36875,37581,36097
8,36875,37581,36097
9,36875,36097,37581
10,36875,36097,37581
11,36875,36097,37581
12,36875,36097,37581
13,36875,36097,37581
14,36875,36097,36986
15,36875,36097,37581
16,36875,36097,37581
17,36875,36097,36986
18,36875,36097,36986
19,36875,36097,36986
20,36875,36097,36986
21,36875,36097,36986
