Etappe,R1,R2,R3,R4,R5
1,32,141,51,88,31
2,51,56,141,117,14
3,51,56,141,117,14
4,51,141,18,56,74
5,51,141,18,56,74
6,51,141,18,56,74
7,51,141,18,56,74
8,51,141,18,74,13
9,181,47,141,18,11
10,181,47,141,18,11
11,181,47,141,18,11
12,181,18,141,11,91
13,181,18,141,11,91
14,181,18,141,11,91
15,181,18,141,11,91
16,181,141,18,11,21
17,181,141,18,11,21
18,181,11,18,141,161
19,11,18,141,181,161
20,141,11,18,181,1
21,141,11,18,181,1
