Etappe,P1,P2,P3
1,19,22,3
2,3,7,11
3,1,15,3
4,7,21,3
5,9,2,7
6,7,12,21
7,13,5,7
8,21,3,12
9,3,20,12
10,20,12,2
11,21,12,20
12,12,1,20
13,3,19,12
14,1,8,12
15,13,3,10
16,13,10,22
17,13,12,20
18,12,2,16
19,12,21,2
20,12,20,15
21,7,13,9
