Etappe,P1,P2,P3
1,1,21,7
2,1,5,15
3,15,8,11
4,15,20,14
5,5,8,7
6,15,14,7
7,16,7,13
8,9,1,5
9,9,15,18
10,9,1,2
11,9,7,5
12,22,9,1
13,9,7,15
14,9,2,7
15,8,20,9
16,16,9,1
17,2,9,7
18,7,9,13
19,8,2,18
20,21,15,5
21,15,10,8
