Rugnummer,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag
1,BOUET Maxime (FRA),0,1,0,0,0
2,CHEREL Mikael (FRA),0,1,0,0,0
3,DUPONT Hubert (FRA),0,1,8,0,0
4,KADRI Blel (FRA),0,1,0,0,0
5,MINARD Sébastien (FRA),4,1,0,0,0
31,GHYSELINCK Jan (BEL),0,4,0,0,0
7,PERAUD Jean-Christophe (FRA),15,1,0,0,0
8,RIBLON Christophe (FRA),0,1,0,0,0
9,ROCHE Nicolas (IRL),19,1,0,9,0
11,BOZIC Borut (SLO),8,2,0,4,4
12,BRAJKOVIC Janez (SLO),18,2,0,12,0
13,GRIVKO Andriy (UKR),1,2,0,0,0
14,IGLINSKIY Maxim (KAZ),0,2,0,0,0
15,KASHECHKIN Andrey (KAZ),0,2,0,0,0
16,KESSIAKOFF Fredrik (SWE),65,2,0,15,0
17,KISERLOVSKI Robert (CRO),6,2,15,0,0
18,FOFONOV Dmitriy (KAZ),1,2,0,0,0
19,VINOKOUROV Alexandre (KAZ),8,2,0,0,0
21,EVANS Cadel (AUS),114,3,0,15,0
22,GILBERT Philippe (BEL),21,3,0,0,0
23,HINCAPIE George (USA),0,3,0,0,0
24,MOINARD Amaël (FRA),0,3,0,0,0
26,CUMMINGS Stephen (GBR),0,3,0,0,0
27,QUINZIATO Manuel (ITA),0,3,0,0,0
28,SCHÄR Michael (SUI),0,3,0,0,0
29,VAN GARDEREN Tejay (USA),73,3,0,16,0
6,HINAULT Sébastien (FRA),16,1,0,0,0
32,DI GREGORIO Rémy (FRA),0,4,11,0,0
33,DUMOULIN Samuel (FRA),14,4,0,0,0
34,EDET Nicolas (FRA),0,4,0,0,0
35,FOUCHARD Julien (FRA),0,4,0,0,0
36,MATE MARDONES Luis Angel (ESP),0,4,0,0,0
37,MONCOUTIE David (FRA),0,4,13,0,0
38,TAARAMAE Rein (EST),12,4,0,0,0
39,ZINGLE Romain (BEL),0,4,0,0,0
41,ASTARLOZA Mikel (ESP),0,5,7,0,0
42,AZANZA SOTO Jorge (ESP),0,5,0,0,0
43,IZAGUIRRE INSAUSTI Gorka (ESP),16,5,0,0,0
44,MARTINEZ Egoi (ESP),22,5,0,8,0
138,COOKE Baden (AUS),0,14,0,0,0
46,PEREZ MORENO Ruben (ESP),1,5,0,0,0
47,SANCHEZ Samuel (ESP),3,5,9,0,0
48,URTASUN PEREZ Pablo (ESP),2,5,0,0,0
49,VERDUGO Gorka (ESP),0,5,9,0,0
51,CASAR Sandy (FRA),15,6,0,0,0
52,VICHOT Arthur (FRA),0,6,0,0,0
53,FEDRIGO Pierrick (FRA),20,6,0,0,0
54,PINOT Thibaut (FRA),57,6,0,14,0
55,HUTAROVICH Yauheni (BLR),4,6,16,0,0
56,ROUX Anthony (FRA),0,6,0,0,0
57,LADAGNOUS Matthieu (FRA),0,6,0,0,0
58,ROY Jérémy (FRA),1,6,0,0,0
59,PINEAU Cedric (FRA),0,6,0,0,0
61,DANIELSON Tom (USA),0,7,7,0,0
62,FARRAR Tyler (USA),9,7,0,0,0
63,HESJEDAL Ryder (CAN),2,7,8,0,0
64,HUNTER Robert (RSA),0,7,8,0,0
65,MARTIN Daniel (IRL),9,7,0,1,0
66,MILLAR David (GBR),20,7,0,0,0
67,VAN SUMMEREN Johan (BEL),0,7,0,0,0
68,VANDE VELDE Christian (USA),15,7,0,0,0
69,ZABRISKIE David (USA),0,7,0,0,0
71,CARUSO Gianpaolo (ITA),2,8,0,0,0
72,HORRACH Joan (ESP),0,8,0,0,0
73,FREIRE Oscar (ESP),4,8,8,0,0
74,GUSEV Vladimir (RUS),0,8,17,0,0
75,KUCHYNSKI Aliaksandr (BLR),0,8,0,0,0
76,MENCHOV Denis (RUS),28,8,0,6,0
77,PAOLINI Luca (ITA),4,8,0,0,0
78,TROFIMOV Yury (RUS),0,8,0,0,0
79,VORGANOV Eduard (RUS),4,8,0,2,0
81,BOLE Grega (SLO),0,9,17,0,0
82,HONDO Danilo (GER),1,9,0,0,0
83,KRIVTSOV Yuriy (UKR),0,9,12,0,0
84,LLOYD Matthew (AUS),0,9,11,0,0
85,MARZANO Marco (ITA),0,9,0,0,0
86,STORTONI Simone (ITA),3,9,0,0,0
87,PETACCHI Alessandro (ITA),28,9,12,0,0
88,SCARPONI Michele (ITA),16,9,0,0,0
89,VIGANO Davide (ITA),0,9,7,0,0
91,BASSO Ivan (ITA),12,10,0,0,0
92,CANUTI Federico (ITA),0,10,0,0,0
93,KOREN Kristjan (SLO),0,10,0,0,0
94,NIBALI Vincenzo (ITA),122,10,0,20,0
95,OSS Daniel (ITA),0,10,0,0,0
25,BURGHARDT Marcus (GER),0,3,0,0,0
97,SAGAN Peter (SVK),254,10,0,35,15
98,SZMYD Sylvester (POL),0,10,0,0,0
99,VANOTTI Alessandro (ITA),0,10,0,0,0
101,BAK Lars (DEN),0,11,0,0,0
102,DE GREEF Francis (BEL),0,11,0,0,0
103,GREIPEL André (GER),141,11,0,18,3
104,HANSEN Adam (AUS),0,11,0,0,0
105,HENDERSON Gregory (NZL),10,11,0,5,5
106,ROELANDTS Jurgen (BEL),0,11,0,0,0
107,SIEBERG Marcel (GER),0,11,0,0,0
108,VAN DEN BROECK Jurgen (BEL),64,11,0,18,0
109,VANENDERT Jelle (BEL),0,11,0,0,0
111,ERVITI Imanol (ESP),0,12,8,0,0
112,COBO ACEBO Juan Jose (ESP),0,12,0,0,0
114,GUTIERREZ José Ivan (ESP),0,12,8,0,0
115,KARPETS Vladimir (RUS),0,12,0,0,0
116,KIRYIENKA Vasil (BLR),5,12,0,0,0
117,PLAZA MOLINA Ruben (ESP),0,12,0,0,0
118,ROJAS Jose Joaquin (ESP),0,12,3,0,0
119,VALVERDE Alejandro (ESP),32,12,0,7,0
121,CHAVANEL Sylvain (FRA),59,13,15,0,0
122,DE WEERT Kevin (BEL),0,13,0,0,0
123,DEVENYNS Dries (BEL),13,13,0,0,0
124,GRABSCH Bert (GER),0,13,0,0,0
125,LEIPHEIMER Levi (USA),0,13,0,0,0
126,MARTIN Tony (GER),0,13,11,0,0
127,PINEAU Jérôme (FRA),0,13,0,0,0
128,VELITS Martin (SVK),15,13,0,0,0
129,VELITS Peter (SVK),12,13,0,0,0
131,ALBASINI Michael (SUI),6,14,0,0,0
132,GERRANS Simon (AUS),0,14,0,0,0
133,GOSS Matthew Harley (AUS),116,14,0,20,10
134,IMPEY Daryl (RSA),14,14,0,0,0
135,LANCASTER Brett Daniel (AUS),6,14,15,0,0
136,LANGEVELD Sebastian (NED),0,14,0,0,0
137,O’GRADY Stuart (AUS),0,14,0,0,0
113,COSTA Rui Alberto (POR),3,12,0,3,0
139,WEENING Pieter (NED),0,14,0,0,0
141,TEN DAM Laurens (NED),1,15,0,0,0
142,GESINK Robert (NED),4,15,13,0,0
143,KRUIJSWIJK Steven (NED),1,15,0,0,0
144,MOLLEMA Bauke (NED),8,15,12,0,0
145,RENSHAW Mark (AUS),2,15,12,0,0
146,SANCHEZ Luis-Leon (ESP),49,15,0,3,0
147,TANKINK Bram (NED),0,15,0,0,0
148,TJALLINGII Maarten (NED),0,15,4,0,0
149,WYNANTS Maarten (BEL),0,15,8,0,0
151,CANCELLARA Fabian (SUI),141,16,12,0,0
152,GALLOPIN Tony (FRA),10,16,14,0,0
153,KLÖDEN Andréas (GER),11,16,0,10,0
154,MONFORT Maxime (BEL),6,16,0,5,0
155,POPOVYCH Yaroslav (UKR),0,16,0,0,0
156,SCHLECK Frank (LUX),2,16,17,0,0
157,VOIGT Jens (GER),15,16,0,0,0
158,ZUBELDIA Haimar (ESP),26,16,0,15,0
161,COPPEL Jérôme (FRA),0,17,0,0,0
162,DELAPLACE Anthony (FRA),0,17,8,0,0
163,ENGOULVENT Jimmy (FRA),1,17,0,1,1
164,FEILLU Brice (FRA),8,17,0,2,0
165,JEANDESBOZ Fabrice (FRA),0,17,0,0,0
166,LEMOINE Cyril (FRA),0,17,0,0,0
167,LEVARLET Guillaume (FRA),0,17,0,0,0
168,MARINO Jean Marc (FRA),0,17,0,0,0
169,SIMON Julien (FRA),5,17,0,0,0
171,CAVENDISH Mark (GBR),76,18,0,28,20
172,EISEL Bernhard (AUT),0,18,0,0,0
173,FROOME Christopher (GBR),208,18,0,34,0
174,HAGEN Edvald Boasson (NOR),65,18,0,8,2
175,KNEES Christian (GER),0,18,0,0,0
176,PORTE Richie (AUS),6,18,0,0,0
177,ROGERS Michael (AUS),0,18,0,0,0
178,SIUTSOU Kanstantsin (BLR),0,18,3,0,0
179,WIGGINS Bradley (GBR),313,18,0,35,0
181,CURVERS Roy (NED),0,19,0,0,0
182,DE KORT Koen (NED),0,19,0,0,0
183,FRÖHLINGER Johannes (GER),0,19,9,0,0
184,GRETSCH Patrick (GER),9,19,0,0,0
185,HUGUET Yann (FRA),0,19,0,0,0
186,KITTEL Marcel (GER),0,19,6,0,0
187,SPRICK Matthieu (FRA),0,19,0,0,0
188,TIMMER Albert (NED),0,19,0,0,0
189,VEELERS Tom (NED),23,19,13,0,0
191,ARASHIRO Yukiya (JPN),0,20,0,0,0
192,BERNAUDEAU Giovanni (FRA),0,20,15,0,0
195,GAUTIER Cyril (FRA),8,20,0,0,0
196,GENE Yohann (FRA),1,20,0,0,0
197,KERN Christophe (FRA),0,20,0,0,0
198,ROLLAND Pierre (FRA),69,20,0,21,0
199,VOECKLER Thomas (FRA),95,20,0,20,0
201,CANTWELL Jonathan (AUS),5,21,0,0,0
202,HAEDO Juan Jose (ARG),29,21,0,10,8
203,KROON Karsten (NED),0,21,0,0,0
204,LUND Anders (DEN),0,21,0,0,0
205,MORKOV Michael (DEN),30,21,0,0,0
206,NUYENS Nick (BEL),0,21,0,0,0
207,PAULINHO Sergio Miguel Moreira (POR),5,21,0,0,0
208,SORENSEN Chris Anker (DEN),45,21,0,17,0
209,SORENSEN Nicki (DEN),8,21,0,0,0
211,BOECKMANS Kris (BEL),10,22,0,6,6
212,VAN HUMMEL Kenny Robert (NED),8,22,15,0,0
213,HOOGERLAND Johnny (NED),0,22,0,0,0
214,LARSSON Gustav (SWE),0,22,12,0,0
215,MARCATO Marco (ITA),4,22,0,0,0
216,POELS Wouter (NED),0,22,7,0,0
217,RUIJGH Rob (NED),0,22,12,0,0
218,VALLS FERRI Rafael (ESP),0,22,0,0,0
219,WESTRA Lieuwe (NED),0,22,12,0,0
159,HORNER Chris (USA),10,16,0,8,0
193,JEROME Vincent (FRA),0,20,15,0,0
194,MALACARNE Davide (ITA),0,20,0,0,0
96,NERZ Dominik (GER),0,10,0,0,0
45,TXURRUKA Amets (ESP),0,5,8,0,0
