Etappe,R1,R2,R3
1,0,0,0
2,0,0,0
3,1136,1154,1019
4,1136,1019,1154
5,1136,1019,1154
6,1106,1136,1019
7,1106,1136,1019
8,1106,1136,1008
9,1106,1136,1008
10,1142,1146,1091
11,1142,1146,1154
12,1142,1136,1010
13,1142,1136,1010
14,1142,1136,1010
15,1142,1136,1010
16,1142,1136,1010
17,1142,1136,1010
18,1136,1001,1010
19,1001,1142,1136
20,1142,1091,1001
21,1142,1091,1001
