Etappe,R1,R2,R3
1,32,141,51
2,32,141,51
3,88,54,32
4,88,141,32
5,32,88,141
6,32,88,51
7,88,32,171
8,32,88,171
9,32,88,171
10,32,88,171
11,171,88,32
12,171,88,32
13,171,88,32
14,171,88,32
15,171,88,32
16,171,88,32
17,171,88,32
18,171,88,32
19,171,88,32
20,171,88,32
21,171,88,32
