rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage,zeldzaam
45517,"ARMIRAIL Bruno",0,9,0,0,0,0,0,0,0,0,82,France,0,0,0
43171,"WOODS Michael",25,4,1,0,0,0,0,0,0,0,37,Canada,18,34,0
1345,"GESINK Robert",0,2,1,0,0,0,0,0,0,0,13,Netherlands,2,4,0
16260,"KRUIJSWIJK Steven",0,2,1,0,0,0,0,0,0,0,14,Netherlands,6,11,0
51074,"KUSS Sepp",132,2,0,0,0,0,0,0,0,0,15,"United States",1,2,0
16199,"MARTIN Tony",0,2,1,0,0,0,0,0,0,0,16,Germany,2,4,0
43700,"ROGLIC Primoz",36,2,1,0,0,0,0,0,0,0,11,Slovenia,50,94,0
37248,"TEUNISSEN Mike",48,2,0,0,0,0,0,0,0,0,17,Netherlands,1,2,0
43705,"VAN AERT Wout",139,2,0,49,25,2,12,10,0,24,12,Belgium,46,87,0
53052,"VINGEGAARD RASMUSSEN Jonas",342,2,0,81,0,45,15,1,20,81,18,Denmark,4,8,0
24090,"DE BUYST Jasper",0,16,1,0,0,0,0,0,0,0,152,Belgium,0,0,0
16516,"DE GENDT Thomas",0,16,0,0,0,0,0,0,0,0,153,Belgium,3,6,0
55786,"CHEVALIER Maxime",0,23,0,0,0,0,0,0,0,0,224,France,0,0,0
43668,"EWAN Caleb",0,16,1,0,0,0,0,0,0,0,151,Australia,44,83,0
273,"GILBERT Philippe",0,16,0,0,0,0,0,0,0,0,154,Belgium,1,2,0
7072,"KLUGE Roger",0,16,1,0,0,0,0,0,0,0,155,Germany,0,0,0
28577,"VAN DER SANDE Tosh",0,16,1,0,0,0,0,0,0,0,157,Belgium,0,0,0
55337,"WRIGHT Fred",0,17,0,0,0,0,0,0,0,0,168,"United Kingdom",0,0,0
112,"ERVITI Imanol",80,7,0,0,0,0,0,0,0,0,63,Spain,0,0,0
