Etappe,R1,R2,R3
1,0,0,0
2,21906,0,0
3,24439,23647,21906
4,24439,21906,43890
5,30211,18684,22916
6,30211,18684,22916
7,30211,18684,22916
8,42981,30211,18684
9,23924,43700,22476
10,23924,43700,22476
11,23924,43700,22476
12,23924,16516,43700
13,23924,23893,16516
14,23924,16516,23893
15,23924,43700,16516
16,23924,43700,16516
17,23924,43700,16516
18,23924,43700,16516
19,23924,43700,16516
20,23924,43700,16516
21,23924,43700,16516
