rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage,zeldzaam
52181,BERNAL GOMEZ Egan Arley,26,1,1,0,0,0,0,0,0,0,1,Colombia,46,82,0
15815,AMADOR BIKKAZAKOVA Andrey,0,1,0,0,0,0,0,0,0,0,2,Costa Rica,2,4,0
45118,CARAPAZ Richard,72,1,0,30,0,10,20,0,0,30,3,Ecuador,24,43,0
21539,CASTROVIEJO NICOLAS Jonathan,0,1,1,0,0,0,0,0,0,0,4,Basque Country,1,2,0
22553,KWIATKOWSKI Michal,62,1,0,0,0,0,0,0,0,0,5,Poland,6,11,0
23827,ROWE Luke,24,1,0,0,0,0,0,0,0,0,6,United Kingdom,1,2,0
49267,SIVAKOV Pavel,25,1,0,1,0,0,0,0,1,1,7,Russia,11,20,0
23816,VAN BAARLE Dylan,0,1,0,0,0,0,0,0,0,0,8,Netherlands,1,2,0
43700,ROGLIC Primoz,167,2,0,60,0,45,15,0,0,60,11,Slovenia,51,91,0
28052,BENNETT George,0,2,0,0,0,0,0,0,0,0,12,New Zealand,3,5,0
43692,JANSEN Amund Grøndahl,0,2,0,0,0,0,0,0,0,0,13,Norway,1,2,0
26310,DUMOULIN Tom,47,2,0,25,0,25,0,0,0,25,14,Netherlands,52,93,0
1345,GESINK Robert,0,2,0,0,0,0,0,0,0,0,15,Netherlands,7,13,0
51074,KUSS Sepp,66,2,0,6,0,6,0,0,0,6,16,United States,4,7,0
16199,MARTIN Tony,0,2,0,0,0,0,0,0,0,0,17,Germany,2,4,0
43705,VAN AERT Wout,111,2,0,19,8,1,0,10,0,11,18,Belgium,28,50,0
23647,SAGAN Peter,96,3,0,35,15,0,0,20,0,20,21,Slovakia,41,73,0
36986,BUCHMANN Emanuel,0,3,0,0,0,0,0,0,0,0,22,Germany,22,39,0
41504,GROßSCHARTNER Felix,0,3,0,0,0,0,0,0,0,0,23,Austria,0,0,0
49219,KÄMNA Lennard,101,3,0,11,0,0,1,0,10,11,24,Germany,8,14,0
