Etappe,P1,P2,P3
1,16,11,15
2,6,18,17
3,17,9,7
4,11,9,3
5,9,11,16
6,16,11,15
7,9,6,3
8,13,19,7
9,13,20,19
10,16,9,10
11,9,3,13
12,9,13,4
13,9,19,20
14,13,17,2
15,19,20,7
16,6,12,10
17,19,13,9
18,7,19,20
19,6,13,8
20,19,7,6
21,11,10,15
