Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,151,179,121,29,174,135,184,76,22,13
2,97,151,174,22,144,119,142,65,63,123
3,171,103,133,189,87,97,55,202,145,62
4,97,174,128,151,131,21,9,47,144,94
5,103,87,189,133,97,201,134,211,174,46
6,103,133,202,33,171,189,73,87,6,196
7,97,103,133,212,202,105,87,77,134,135
8,173,21,179,94,38,158,198,12,76,154
9,54,21,152,179,94,108,173,76,158,156
10,179,173,151,29,121,21,129,94,76,153
11,199,88,157,146,123,51,44,198,108,18
12,198,54,173,108,94,179,208,12,116,156
13,66,7,44,195,17,97,133,6,21,77
14,103,97,174,6,134,169,215,22,128,82
15,146,97,51,22,43,207,5,128,79,143
16,53,68,199,209,123,33,103,62,97,211
17,199,208,43,19,164,157,65,86,71,141
18,119,173,179,54,198,108,94,29,159,65
19,171,133,97,146,9,62,11,6,134,33
20,179,173,146,129,176,184,29,116,38,58
21,171,97,133,202,211,105,11,103,174,163
