rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage,zeldzaam
31751,"JUNGELS Bob",93,4,0,12,0,12,0,0,0,12,36,Luxembourg,2,2,0
51127,"COSNEFROY Benoit",0,4,0,0,0,0,0,0,0,0,34,France,4,5,0
37571,"BOUCHARD Geoffrey",0,4,1,0,0,0,0,0,0,0,32,France,2,2,0
41080,"NAESEN Oliver",0,4,1,0,0,0,0,0,0,0,37,Belgium,1,1,0
50087,"O'CONNOR Ben Alexander",0,4,1,0,0,0,0,0,0,0,31,Australia,40,49,0
49211,"PARET-PEINTRE Aurélien",0,4,1,0,0,0,0,0,0,0,38,France,2,2,0
23827,"ROWE Luke",0,3,0,0,0,0,0,0,0,0,26,"United Kingdom",1,1,0
28217,"DILLIER Silvan",0,11,0,0,0,0,0,0,0,0,102,Switzerland,1,1,0
21539,"CASTROVIEJO NICOLAS Jonathan",80,3,0,0,0,0,0,0,0,0,23,"Basque Country",0,0,0
54348,"PHILIPSEN Jasper",134,11,0,40,25,0,0,15,0,15,105,Belgium,41,51,0
50664,"POWLESS Neilson",110,15,0,14,0,10,4,0,0,14,147,"United States",0,0,0
43684,"VAN DER POEL Mathieu",10,11,1,0,0,0,0,0,0,0,101,Netherlands,67,83,0
42181,"DOULL Owain",0,15,0,0,0,0,0,0,0,0,145,"United Kingdom",0,0,0
36193,"LUTSENKO Alexey",85,14,0,19,0,19,0,0,0,19,131,Kazahkstan,2,2,0
48180,"MOSCON Gianni",0,14,1,0,0,0,0,0,0,0,136,Italy,0,0,0
48263,"BONNAMOUR Franck",0,22,0,0,0,0,0,0,0,0,211,France,2,2,0
43066,"GOUGEARD Alexis",0,22,0,0,0,0,0,0,0,0,213,France,0,0,0
28203,"PEREZ Anthony",0,8,0,0,0,0,0,0,0,0,76,France,0,0,0
54446,"MOZZATO Luca",51,22,0,0,0,0,0,0,0,0,216,Italy,2,2,0
18662,"ROLLAND Pierre",0,22,0,0,0,0,0,0,0,0,217,France,2,2,0
44015,"SCHÖNBERGER Sebastian",0,22,0,0,0,0,0,0,0,0,218,Austria,3,4,0
20914,"CARUSO Damiano",3,9,1,0,0,0,0,0,0,0,82,Italy,5,6,0
44802,"HAIG Jack",0,9,1,0,0,0,0,0,0,0,81,Australia,9,11,0
43812,"MOHORIC Matej",0,9,0,0,0,0,0,0,0,0,84,Slovenia,12,15,0
35418,"TEUNS Dylan",47,9,0,2,0,2,0,0,0,2,86,Belgium,4,5,0
55337,"WRIGHT Fred",114,9,0,6,4,0,0,0,2,2,88,"United Kingdom",1,1,0
23920,"HALLER Marco",0,5,0,0,0,0,0,0,0,0,43,Austria,0,0,0
41504,"GROßSCHARTNER Felix",18,5,0,0,0,0,0,0,0,0,42,Austria,3,4,0
24463,"KONRAD Patrick",45,5,0,5,0,5,0,0,0,5,45,Austria,0,0,0
28574,"VAN KEIRSBULCK Guillaume",0,11,0,0,0,0,0,0,0,0,108,Belgium,0,0,0
43890,"POLITT Nils",0,5,0,0,0,0,0,0,0,0,46,Germany,3,4,0
