Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,datum
1,43938,23647,19780,16120,42312,41474,23913,21591,7124,23906,2018-07-07 15:39:38
2,23647,28431,25852,698,16120,23844,130,25910,21591,273,2018-07-08 17:33:07
3,4,18,12,10,19,14,5,2,16,11,2018-07-09 17:35:26
4,43938,23647,698,41474,19780,25910,16120,21591,41537,23844,2018-07-10 17:58:13
5,23647,28431,273,130,35949,18684,6968,44196,25910,381,2018-07-11 17:32:26
6,18684,37581,130,35949,23906,37165,18657,23647,7234,43700,2018-07-12 17:42:52
7,41474,43938,23647,25852,42312,21591,2964,698,25910,6964,2018-07-13 18:10:07
8,41474,23647,21591,16120,25852,45003,24828,6964,30373,25910,2018-07-14 17:13:41
9,21591,6968,30373,273,23647,23283,31751,698,16265,23844,2018-07-15 16:17:38
10,35949,22689,18742,6968,1334,42981,18684,43700,51700,7234,2018-07-17 18:15:08
11,7234,26310,22916,20914,20727,18684,28657,25394,381,23627,2018-07-18 17:41:44
12,7234,26310,25394,22916,23893,43700,381,7124,23627,16260,2018-07-19 17:47:39
13,23647,16120,25852,21591,6968,30373,41651,25910,28431,21906,2018-07-20 17:34:43
14,35495,35949,23283,23647,20914,18656,22952,42981,2964,16516,2018-07-21 17:58:28
15,41651,22689,18657,35739,27365,762,42981,23906,24828,41184,2018-07-22 17:56:32
16,35949,21841,37165,18657,762,1345,35739,44124,47288,37581,2018-07-24 17:20:24
17,23627,18684,7234,43700,26310,16260,52181,22916,23893,34458,2018-07-25 17:42:33
18,25852,42312,16120,16265,28431,6853,21591,23647,21906,23844,2018-07-26 17:55:23
19,43700,7234,25394,18684,23906,26310,23893,22916,16260,34458,2018-07-27 17:50:52
20,26310,22916,7234,22553,44196,31751,34458,43700,47288,24666,2018-07-28 18:48:19
21,16120,21591,25852,16265,42312,6853,28431,23647,25910,24090,2018-07-29 19:38:47
