Etappe,R1,R2,R3
1,32,999,999
2,32,999,999
3,32,133,999
4,141,32,133
5,141,32,133
6,204,137,141
7,204,137,141
8,178,83,204
9,204,181,178
10,204,181,178
11,204,181,178
12,21,38,138
13,138,21,38
14,38,21,138
15,38,21,138
16,38,21,138
17,38,21,138
18,38,21,11
19,21,11,38
20,11,21,38
21,21,11,38
