Etappe,R1,R2,R3
1,7234,43607,2534
2,19780,25852,698
3,19780,25852,23647
4,25852,19780,23913
5,25852,19780,23913
6,25852,19780,23913
7,19780,25852,23913
8,19780,25852,23913
9,19780,23913,698
10,19780,23913,698
11,19780,23913,698
12,19780,23913,698
13,19780,23913,698
14,19780,23913,698
15,19780,23913,698
16,19780,23913,698
17,23913,698,16120
18,23913,698,28431
19,23913,698,16265
20,23913,698,16265
21,23913,698,16265
