rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,RN,Land
7526,MACHADO Tiago,0,16,0,0,0,0,0,0,0,127,Portugal
16199,MARTIN Tony,20,16,0,0,0,4,0,0,0,121,Germany
43890,POLITT Nils,1,16,0,0,0,0,1,0,0,128,Germany
41482,ZABEL Rick,0,16,0,0,0,0,0,0,0,129,Germany
28052,BENNETT George,7,17,1,0,0,0,0,0,0,162,New Zealand
1345,GESINK Robert,15,17,1,0,0,0,0,0,0,161,Netherlands
41474,GROENEWEGEN Dylan,65,17,0,24,20,0,0,4,0,163,Netherlands
1332,LEEZER Tom,0,17,0,0,0,0,0,0,0,164,Netherlands
7091,MARTENS Paul,0,17,0,0,0,0,0,0,0,165,Germany
43700,ROGLIC Primoz,74,17,0,18,0,0,46,0,0,166,Slovenia
41999,ROOSEN Timo,0,17,0,0,0,0,0,0,0,167,Netherlands
7602,VAN EMDEN Jos,4,17,1,0,0,0,0,0,0,168,Netherlands
6954,WAGNER Robert,0,17,0,0,0,0,0,0,0,169,Germany
22916,FROOME Christopher,290,18,0,49,0,212,9,3,0,1,United Kingdom
19983,HENAO MONTOYA Sergio,0,18,0,0,0,0,0,0,0,2,Colombia
2534,KIRYIENKA Vasil,21,18,0,0,0,10,0,1,0,3,Belarus
700,KNEES Christian,0,18,0,0,0,0,0,0,0,4,Germany
22553,KWIATKOWSKI Michal,22,18,0,0,0,0,0,0,0,5,Poland
23893,LANDA MEANA Mikel,79,18,0,26,0,42,8,0,0,6,Basque Country
20727,NIEVE ITURALDE Mikel,8,18,0,7,0,7,0,0,0,7,Basque Country
23827,ROWE Luke,0,18,0,0,0,0,0,0,0,8,United Kingdom
7234,THOMAS Geraint,101,18,1,0,0,72,0,5,0,9,United Kingdom
24828,ARNDT Nikias,19,19,0,0,0,0,0,0,0,142,Germany
23924,BARGUIL Warren,163,19,0,36,0,11,85,0,0,143,France
1295,CURVERS Roy,0,19,0,0,0,0,0,0,0,144,Netherlands
18656,GESCHKE Simon,0,19,0,0,0,0,0,0,0,145,Germany
23913,MATTHEWS Michael,169,19,0,25,0,12,0,74,0,141,Australia
21647,SINKELDAM Ramon,0,19,0,0,0,0,0,0,0,146,Netherlands
777,TEN DAM Laurens,0,19,0,0,0,0,0,0,0,147,Netherlands
37248,TEUNISSEN Mike,0,19,0,0,0,0,0,0,0,148,Netherlands
1355,TIMMER Albert,0,19,0,0,0,0,0,0,0,149,Netherlands
137,CONTADOR VELASCO Alberto,36,20,0,14,0,12,2,0,0,31,Spain
139,DE KORT Koen,0,20,0,0,0,0,0,0,0,32,Netherlands
21591,DEGENKOLB John,32,20,0,0,0,0,0,0,0,33,Germany
22888,FELLINE Fabio,0,20,1,0,0,0,0,0,0,34,Italy
41814,GOGL Michael,0,20,0,0,0,0,0,0,0,35,Austria
91,IRIZAR ARANBURU Markel,0,20,0,0,0,0,0,0,0,36,Basque Country
18657,MOLLEMA Bauke,27,20,0,7,0,4,3,0,0,37,Netherlands
21506,PANTANO GOMEZ Jarlinson,0,20,0,0,0,0,0,0,0,38,Colombia
105,ZUBELDIA AGIRRE Haimar,0,20,0,0,0,0,0,0,0,39,Basque Country
22116,ATAPUMA HURTADO Jhon Darwin,23,21,0,8,0,0,8,0,0,62,Colombia
15897,BONO Matteo,0,21,0,0,0,0,0,0,0,63,Italy
16312,DURASEK Kristijan,0,21,0,0,0,0,0,0,0,64,Croatia
23556,LAENGEN Vegard Stake,0,21,0,0,0,0,0,0,0,65,Norway
6897,MARCATO Marco,0,21,0,0,0,0,0,0,0,66,Italy
36097,MEINTJES Louis,83,21,0,31,0,13,0,0,58,61,South Africa
172,MORI Manuele,3,21,1,0,0,0,0,0,0,67,Italy
20516,SWIFT Ben,6,21,0,0,0,0,0,0,0,68,United Kingdom
24728,ULISSI Diego,15,21,0,0,0,0,0,0,0,69,Italy
42410,BACKAERT Frederik,0,22,0,0,0,0,0,0,0,202,Belgium
19444,DEGAND Thomas,0,22,0,0,0,0,0,0,0,203,Belgium
42839,MARTIN Guillaume,16,22,0,6,0,0,0,0,6,201,France
34416,MINNAARD Marco,0,22,0,0,0,0,0,0,0,204,Netherlands
18767,OFFREDO Yoann,0,22,0,0,0,0,0,0,0,205,France
25910,PASQUALON Andrea,0,22,0,0,0,0,0,0,0,206,Italy
41537,SMITH Dion,0,22,0,0,0,0,0,0,0,207,New Zealand
28574,VAN KEIRSBULCK Guillaume,0,22,0,0,0,0,0,0,0,208,Belgium
20886,VANSPEYBROUCK Pieter,3,22,0,0,0,0,0,0,0,209,Belgium
