Etappe,R1,R2,R3
1,85,0,0
2,102,76,103
3,102,118,76
4,102,118,76
5,102,118,76
6,102,118,76
7,76,102,118
8,32,102,36
9,102,32,36
10,102,32,36
11,102,32,36
12,102,32,36
13,102,32,36
14,102,32,36
15,32,132,86
16,32,132,86
17,32,132,86
18,32,132,79
19,32,102,86
20,132,32,102
21,132,32,102
