Etappe,R1,R2,R3,R4,R5
1,151,179,121,29,174
2,151,179,121,29,174
3,151,179,121,29,174
4,151,179,121,29,174
5,151,179,121,29,174
6,151,179,121,29,174
7,151,179,121,29,76
8,179,21,94,38,76
9,179,21,94,76,158
10,179,21,173,94,76
11,179,21,173,94,76
12,179,173,94,21,108
13,179,173,94,21,108
14,179,173,94,21,108
15,179,173,94,21,108
16,179,173,94,21,108
17,179,173,94,108,158
18,179,173,94,108,29
19,179,173,94,108,29
20,179,173,94,108,29
21,179,173,94,108,29
