Etappe,R1,R2,R3
1,152,197,155
2,157,78,152
3,157,78,152
4,157,78,152
5,157,78,152
6,157,78,152
7,157,78,152
8,78,157,172
9,68,78,48
10,19,144,68
11,19,136,68
12,19,136,68
13,45,19,109
14,19,31,45
15,19,31,45
16,31,19,45
17,31,45,19
18,31,45,19
19,31,45,19
20,31,45,19
21,31,45,19
