Rugnummer,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag
151,TAARAMAE Rein,16,16,0,9,0
152,BUFFAZ Mickael,0,16,0,0,0
153,DUMOULIN Samuel,1,16,0,0,0
154,DUQUE Leonardo,0,16,0,0,0
155,EL FARES Julien,8,16,0,0,0
156,GALLOPIN Tony,11,16,0,0,0
157,MONCOUTIE David,15,16,0,0,0
158,VALENTIN Tristan,0,16,0,0,0
159,ZINGLE Romain,0,16,0,0,0
161,CUNEGO Damiano,35,17,0,14,0
162,BERTAGNOLLI Leonardo,0,17,18,0,0
163,BOLE Grega,0,17,0,0,0
164,BONO Matteo,0,17,0,0,0
165,HONDO Danilo,0,17,0,0,0
166,KOSTYUK Denys,0,17,0,0,0
167,LOOSLI David,0,17,0,0,0
168,MALORI Adriano,0,17,0,0,0
169,PETACCHI Alessandro,28,17,0,0,0
171,CAVENDISH Mark,195,18,0,40,20
172,BAK Lars,8,18,0,0,0
173,EISEL Bernhard,0,18,0,0,0
174,GOSS Matthew Harley,15,18,0,0,0
175,MARTIN Tony,32,18,0,0,0
176,PATE Danny,0,18,0,0,0
177,RENSHAW Mark,0,18,0,0,0
178,VAN GARDEREN Tejay,8,18,0,0,0
179,VELITS Peter,24,18,0,2,0
181,VOECKLER Thomas,162,19,0,18,0
182,CHARTEAU Anthony,0,19,0,0,0
183,GAUTIER Cyril,0,19,0,0,0
184,GENE Yohann,0,19,0,0,0
185,JEROME Vincent,0,19,0,0,0
186,KERN Christophe,0,19,5,0,0
187,QUEMENEUR Perrig,0,19,0,0,0
188,ROLLAND Pierre,40,19,0,13,0
189,TURGOT Sebastien,6,19,0,0,0
191,KARPETS Vladimir,0,20,0,0,0
192,BRUTT Pavel,0,20,9,0,0
193,GALIMZYANOV Denis,13,20,12,0,0
194,GUSEV Vladimir,4,20,0,0,0
195,IGNATYEV Mikhail,6,20,0,0,0
196,ISAICHEV Vladimir,0,20,13,0,0
197,KOLOBNEV Alexandr,0,20,10,0,0
198,SILIN Egor,0,20,0,0,0
199,TROFIMOV Yury,0,20,0,0,0
201,FEILLU Romain,42,21,12,0,0
202,BOZIC Borut,11,21,0,4,4
203,DE GENDT Thomas,13,21,0,0,0
204,HOOGERLAND Johnny,27,21,0,1,0
205,LEUKEMANS Bjorn,0,21,19,0,0
206,MARCATO Marco,5,21,0,0,0
207,POELS Wouter,0,21,9,0,0
208,RUIJGH Rob,0,21,0,0,0
209,WESTRA Lieuwe,0,21,0,0,0
211,COPPEL Jerome,7,22,0,7,0
212,COYOT Arnaud,0,22,0,0,0
213,DELAPLACE Anthony,0,22,0,0,0
214,ENGOULVENT Jimmy,2,22,0,1,1
215,GALLAND Jeremie,0,22,0,0,0
216,HIVERT Jonathan,2,22,0,0,0
217,JEANDESBOZ Fabrice,0,22,0,0,0
218,MANGEL Laurent,0,22,0,0,0
219,TALABARDON Yannick,0,22,0,0,0
