rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage
25394,BARDET Romain,62,1,0,28,0,28,0,0,0,28,21,France,31,61
28217,DILLIER Silvan,0,1,0,0,0,0,0,0,0,0,22,Switzerland,0,0
29820,DOMONT Axel,0,1,1,0,0,0,0,0,0,0,23,France,0,0
18615,FRANK Mathias,0,1,0,0,0,0,0,0,0,0,24,Switzerland,0,0
20585,GALLOPIN Tony,0,1,1,0,0,0,0,0,0,0,25,France,2,4
37581,LATOUR Pierre,56,1,0,35,0,10,0,0,25,35,26,France,1,2
41080,NAESEN Oliver,0,1,0,0,0,0,0,0,0,0,27,Belgium,0,0
22476,VUILLERMOZ Alexis,0,1,1,0,0,0,0,0,0,0,28,France,1,2
41651,CORT NIELSEN Magnus,36,2,0,1,0,0,0,0,1,1,126,Denmark,2,4
35495,FRAILE MATARRANZ Omar,29,2,0,0,0,0,0,0,0,0,122,Basque Country,1,2
7124,FUGLSANG Jakob,22,2,0,12,0,12,0,0,0,12,121,Denmark,9,18
16787,GRUZDEV Dmitriy,4,2,1,0,0,0,0,0,0,0,123,Kazahkstan,0,0
28675,HANSEN Jesper,4,2,0,0,0,0,0,0,0,0,124,Denmark,0,0
18696,KANGERT Tanel,11,2,0,7,0,5,2,0,0,7,125,Estonia,0,0
153,SANCHEZ GIL Luis Leon,4,2,1,0,0,0,0,0,0,0,127,Spain,1,2
35739,VALGREN ANDERSEN Michael,22,2,0,0,0,0,0,0,0,0,128,Denmark,0,0
28431,COLBRELLI Sonny,60,3,0,8,6,0,0,2,0,2,52,Italy,6,12
291,HAUSSLER Heinrich,0,3,0,0,0,0,0,0,0,0,53,Australia,0,0
21841,IZAGUIRRE INSAUSTI Gorka,20,3,0,0,0,0,0,0,0,0,54,Basque Country,0,0
22689,IZAGUIRRE INSAUSTI Ion,40,3,0,0,0,0,0,0,0,0,55,Basque Country,0,0
1634,KOREN Kristjan,0,3,0,0,0,0,0,0,0,0,56,Slovenia,0,0
381,NIBALI Vincenzo,9,3,1,0,0,0,0,0,0,0,51,Italy,36,71
436,PELLIZOTTI Franco,0,3,0,0,0,0,0,0,0,0,57,Italy,0,0
762,POZZOVIVO Domenico,21,3,0,3,0,3,0,0,0,3,58,Italy,3,6
26937,BEVIN Patrick,25,4,1,0,0,0,0,0,0,0,82,New Zealand,2,4
20914,CARUSO Damiano,48,4,0,1,0,1,0,0,0,1,83,Italy,1,2
648,GERRANS Simon,25,4,0,0,0,0,0,0,0,0,84,Australia,0,0
43607,KÜNG Stefan,29,4,0,4,0,0,0,0,4,4,85,Switzerland,0,0
21310,PORTE Richie,25,4,1,0,0,0,0,0,0,0,81,Australia,36,71
7063,SCHÄR Michael,25,4,0,0,0,0,0,0,0,0,86,Switzerland,0,0
6968,VAN AVERMAET Greg,81,4,0,8,0,0,0,8,0,8,87,Belgium,9,18
20092,VAN GARDEREN Tejay,25,4,0,0,0,0,0,0,0,0,88,United States,0,0
1360,BODNAR Maciej,6,5,0,0,0,0,0,0,0,0,112,Poland,1,2
315,BURGHARDT Marcus,6,5,0,0,0,0,0,0,0,0,113,Germany,0,0
23906,MAJKA Rafal,48,5,0,17,0,2,15,0,0,17,114,Poland,8,16
44124,MUHLBERGER Gregor,10,5,0,0,0,0,0,0,0,0,115,Austria,0,0
20576,OSS Daniel,6,5,0,0,0,0,0,0,0,0,116,Italy,1,2
33183,POLJANSKI Pawel,6,5,0,0,0,0,0,0,0,0,117,Poland,0,0
35878,POSTLBERGER Lukas,6,5,0,0,0,0,0,0,0,0,118,Austria,0,0
23647,SAGAN Peter,215,5,0,29,4,0,0,25,0,25,111,Slovakia,41,80
28657,HERRADA LOPEZ Jesús,6,6,0,0,0,0,0,0,0,0,204,Spain,0,0
42312,LAPORTE Christophe,50,6,0,10,10,0,0,0,0,0,201,France,1,2
148,NAVARRO GARCIA Daniel,0,6,0,0,0,0,0,0,0,0,205,Spain,0,0
42981,CALMEJANE Lilian,18,7,0,0,0,0,0,0,0,0,181,France,1,2
240,CHAVANEL Sylvain,0,7,0,0,0,0,0,0,0,0,183,France,2,4
18742,TAARAMAE Rein,15,7,1,0,0,0,0,0,0,0,188,Estonia,1,2
25852,DEMARE Arnaud,107,8,0,30,15,0,0,15,0,15,151,France,22,43
51700,GAUDU David,14,8,0,12,0,0,0,0,12,12,152,France,0,0
20482,GUARNIERI Jacopo,0,8,0,0,0,0,0,0,0,0,153,Italy,0,0
31945,LE GAC Olivier,0,8,0,0,0,0,0,0,0,0,154,France,1,2
27094,LUDVIGSSON Tobias,0,8,0,0,0,0,0,0,0,0,155,Sweden,0,0
28197,MOLARD Rudy,0,8,0,0,0,0,0,0,0,0,156,France,0,0
21647,SINKELDAM Ramon,0,8,0,0,0,0,0,0,0,0,157,Netherlands,1,2
22704,VICHOT Arthur,0,8,0,0,0,0,0,0,0,0,158,France,0,0
43736,BENOOT Tiesj,0,9,1,0,0,0,0,0,0,0,172,Belgium,2,4
24090,DE BUYST Jasper,1,9,0,1,1,0,0,0,0,0,173,Belgium,1,2
16516,DE GENDT Thomas,1,9,0,0,0,0,0,0,0,0,174,Belgium,5,10
698,GREIPEL André,35,9,1,0,0,0,0,0,0,0,171,Germany,19,37
23783,KEUKELEIRE Jens,0,9,1,0,0,0,0,0,0,0,175,Belgium,1,2
15887,MARCZYNSKI Tomasz,0,9,0,0,0,0,0,0,0,0,176,Poland,0,0
1221,SIEBERG Marcel,0,9,1,0,0,0,0,0,0,0,177,Germany,0,0
944,VANENDERT Jelle,0,9,1,0,0,0,0,0,0,0,178,Belgium,0,0
23894,BAUER Jack,12,10,0,0,0,0,0,0,0,0,62,New Zealand,1,2
23942,DURBRIDGE Luke,12,10,0,0,0,0,0,0,0,0,63,Australia,0,0
450,HAYMAN Mathew,12,10,0,0,0,0,0,0,0,0,64,Australia,0,0
24666,HEPBURN Michael,13,10,0,0,0,0,0,0,0,0,65,Australia,0,0
35842,HOWSON Damien,12,10,1,0,0,0,0,0,0,0,66,Australia,0,0
2964,IMPEY Daryl,20,10,0,0,0,0,0,0,0,0,67,South Africa,0,0
20727,NIEVE ITURALDE Mikel,22,10,0,0,0,0,0,0,0,0,68,Basque Country,2,4
37165,YATES Adam,35,10,0,0,0,0,0,0,0,0,61,United Kingdom,20,39
15815,AMADOR BIKKAZAKOVA Andrey,1,11,0,0,0,0,0,0,0,0,72,Costa Rica,2,4
391,BENNATI Daniele,1,11,0,0,0,0,0,0,0,0,73,Italy,0,0
112,ERVITI Imanol,1,11,0,0,0,0,0,0,0,0,74,Spain,0,0
23893,LANDA MEANA Mikel,44,11,0,25,0,25,0,0,0,25,75,Basque Country,21,41
23627,QUINTANA ROJAS Nairo Alexander,49,11,0,20,0,16,4,0,0,20,71,Colombia,37,73
7213,ROJAS GIL Jose Joaquin,1,11,1,0,0,0,0,0,0,0,76,Spain,1,2
47288,SOLER GIMENEZ Marc,7,11,0,2,0,0,0,0,2,2,77,Spain,2,4
130,VALVERDE BELMONTE Alejandro,42,11,0,8,0,8,0,0,0,8,78,Spain,18,35
35949,ALAPHILIPPE Julian,142,12,0,35,0,0,25,10,0,35,101,France,10,20
25721,DECLERCQ Tim,15,12,1,0,0,0,0,0,0,0,102,Belgium,0,0
43938,GAVIRIA RENDON Fernando,85,12,1,0,0,0,0,0,0,0,103,Colombia,29,57
273,GILBERT Philippe,43,12,1,0,0,0,0,0,0,0,104,Belgium,1,2
31751,JUNGELS Bob,43,12,0,14,0,14,0,0,0,14,105,Luxembourg,4,8
30373,LAMPAERT Yves,40,12,0,0,0,0,0,0,0,0,106,Belgium,1,2
6853,RICHEZE Ariel Maximiliano,31,12,0,8,8,0,0,0,0,0,107,Argentina,0,0
1259,TERPSTRA Niki,15,12,0,0,0,0,0,0,0,0,108,Netherlands,4,8
16265,BOASSON HAGEN Edvald,26,13,0,12,12,0,0,0,0,0,132,Norway,3,6
6964,CAVENDISH Mark,5,13,1,0,0,0,0,0,0,0,131,United Kingdom,17,33
22001,JANSE VAN RENSBURG Reinardt,0,13,0,0,0,0,0,0,0,0,133,South Africa,1,2
1334,PAUWELS Serge,10,13,1,0,0,0,0,0,0,0,134,Belgium,0,0
282,RENSHAW Mark,0,13,1,0,0,0,0,0,0,0,135,Australia,0,0
24422,SLAGTER Tom Jelte,0,13,0,0,0,0,0,0,0,0,136,Netherlands,4,8
20976,THOMSON Jay Robert,0,13,0,0,0,0,0,0,0,0,137,South Africa,0,0
22656,VERMOTE Julien,0,13,0,0,0,0,0,0,0,0,138,Belgium,1,2
6810,CLARKE Simon,8,14,0,0,0,0,0,0,0,0,12,Australia,0,0
29736,CRADDOCK Lawson,8,14,0,0,0,0,0,0,0,0,13,United States,0,0
49848,MARTINEZ POVEDA Daniel Felipe,18,14,0,10,0,0,0,0,10,10,14,Colombia,0,0
21906,PHINNEY Taylor,11,14,0,0,0,0,0,0,0,0,15,United States,0,0
18662,ROLLAND Pierre,8,14,0,0,0,0,0,0,0,0,16,France,2,4
28244,SCULLY Thomas,8,14,0,0,0,0,0,0,0,0,17,New Zealand,0,0
15882,URAN URAN Rigoberto,8,14,1,0,0,0,0,0,0,0,11,Colombia,20,39
20578,VANMARCKE Sep,8,14,0,0,0,0,0,0,0,0,18,Belgium,1,2
23924,BARGUIL Warren,24,15,0,24,0,4,20,0,0,24,41,France,17,33
22662,HARDY Romain,0,15,0,0,0,0,0,0,0,0,44,France,0,0
24919,BOSWELL Ian,2,16,0,0,0,0,0,0,0,0,142,United States,0,0
1597,KISERLOVSKI Robert,2,16,1,0,0,0,0,0,0,0,143,Croatia,0,0
19780,KITTEL Marcel,27,16,1,0,0,0,0,0,0,0,144,Germany,36,71
20491,KOCHETKOV Pavel,2,16,0,0,0,0,0,0,0,0,145,Russia,0,0
16199,MARTIN Tony,2,16,1,0,0,0,0,0,0,0,146,Germany,3,6
43890,POLITT Nils,2,16,0,0,0,0,0,0,0,0,147,Germany,1,2
41482,ZABEL Rick,2,16,1,0,0,0,0,0,0,0,148,Germany,0,0
34458,ZAKARIN Ilnur,29,16,0,19,0,19,0,0,0,19,141,Russia,4,8
1345,GESINK Robert,8,17,0,0,0,0,0,0,0,0,162,Netherlands,6,12
41474,GROENEWEGEN Dylan,70,17,1,0,0,0,0,0,0,0,163,Netherlands,36,71
43692,JANSEN Amund Grøndahl,0,17,0,0,0,0,0,0,0,0,164,Norway,0,0
16260,KRUIJSWIJK Steven,44,17,0,33,0,32,1,0,0,33,161,Netherlands,5,10
7091,MARTENS Paul,0,17,0,0,0,0,0,0,0,0,165,Germany,0,0
43700,ROGLIC Primoz,98,17,0,44,0,36,8,0,0,44,166,Slovenia,27,53
41999,ROOSEN Timo,0,17,0,0,0,0,0,0,0,0,167,Netherlands,1,2
45487,TOLHOEK Antwan,8,17,0,8,0,0,0,0,8,8,168,Netherlands,2,4
52181,BERNAL GOMEZ Egan Arley,52,18,0,26,0,6,0,0,20,26,2,Colombia,6,12
21539,CASTROVIEJO NICOLAS Jonathan,20,18,0,0,0,0,0,0,0,0,3,Basque Country,0,0
22916,FROOME Christopher,115,18,0,40,0,40,0,0,0,40,1,United Kingdom,44,86
22553,KWIATKOWSKI Michal,32,18,0,0,0,0,0,0,0,0,4,Poland,0,0
