Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,datum
1,16120,47296,47062,23899,23647,23799,25139,37139,44819,23283,2020-08-29 18:25:15
2,35949,53508,37165,6968,52237,18657,36193,53443,43844,43670,2020-08-30 18:33:13
3,43668,23899,25139,48268,23647,27113,47062,25907,37139,42495,2020-08-31 17:46:54
4,43700,53443,42839,23627,35949,49629,52181,23898,23893,37165,2020-09-01 17:46:40
5,43705,47062,23899,23647,23283,24718,37139,43668,35617,48268,2020-09-02 17:45:37
6,36193,28657,6968,50664,35949,18657,22553,52181,45118,37165,2020-09-03 16:48:35
7,43705,16265,37139,42312,23283,35617,48268,52181,37165,130,2020-09-04 17:10:35
8,46078,27365,33754,34458,50664,18580,36610,44196,53443,25394,2020-09-05 18:45:06
9,53443,43700,53508,52181,23893,18657,42839,25394,21310,15882,2020-09-06 16:32:39
10,23899,43668,23647,23799,47296,698,37139,47062,23283,24718,2020-09-08 20:59:55
11,43668,23899,43705,37139,35617,47296,24718,48268,41080,47225,2020-09-09 18:16:05
12,53508,18662,44196,36610,28657,43844,30154,24741,27208,256,2020-09-10 17:10:44
13,49848,49219,43844,49214,18662,22952,18656,47288,44199,24798,2020-09-11 17:09:16
14,44196,24718,45436,23647,49757,23283,25907,41080,28431,53508,2020-09-13 15:01:04
15,53443,43700,21310,49629,48301,51074,23893,37165,15882,130,2020-09-13 17:25:08
16,49219,45118,24741,49267,18656,23924,43736,256,36610,35949,2020-09-15 17:39:04
17,49629,43700,53443,51074,21310,48301,23893,37165,15882,26310,2020-09-16 17:22:37
18,22553,45118,43705,43700,53443,21310,48301,23893,20914,26310,2020-09-17 19:33:27
19,44196,24718,23283,6968,41080,24828,23827,23899,23647,25907,2020-09-18 17:38:20
20,53443,26310,21310,43705,43700,48228,20914,24798,48301,15882,2020-09-19 18:14:17
21,23899,47296,23647,16120,23799,43705,43668,48268,37139,42314,2020-09-20 19:14:16
