Etappe,R1,R2,R3
1,151,179,121
2,151,97,174
3,151,97,174
4,97,151,171
5,97,133,103
6,97,133,171
7,97,133,103
8,97,133,103
9,97,133,103
10,97,133,103
11,97,133,103
12,97,133,103
13,97,133,103
14,97,103,133
15,97,103,133
16,97,103,133
17,97,103,133
18,97,103,133
19,97,103,133
20,97,103,133
21,97,103,133
