Etappe,P1,P2,P3
1,4,15,2
2,6,15,12
3,6,21,4
4,12,8,6
5,4,14,12
6,21,12,11
7,4,21,6
8,2,6,12
9,5,19,14
10,4,21,11
11,14,4,21
12,11,2,20
13,6,16,14
14,19,2,11
15,6,16,22
16,6,12,3
17,12,21,22
18,6,11,2
19,6,11,2
20,18,1,2
21,12,18,10
