Etappe,R1,R2,R3,R4,R5
1,1169,1048,1158,1124,1209
2,1158,1048,1124,1156,1148
3,1142,1048,1021,1079,1020
4,1048,1142,1021,1079,1156
5,1048,1142,1021,1156,1079
6,1048,1142,1021,1156,1079
7,1142,1156,1021,1079,1020
8,1142,1156,1021,1079,1020
9,1142,1021,1020,1156,1151
10,1142,1021,1091,1094,1148
11,1142,1021,1091,1094,1148
12,1142,1021,1091,1094,1148
13,1142,1021,1091,1094,1148
14,1142,1091,1021,1094,1151
15,1142,1091,1021,1094,1151
16,1142,1091,1021,1094,1151
17,1142,1091,1094,1148,1151
18,1142,1091,1094,1148,1151
19,1142,1091,1094,1012,1137
20,1142,1091,1094,1012,1151
21,1142,1091,1094,1012,1151
