Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,datum
1,35949,23913,43700,44802,24421,53443,51700,52237,18657,7234,"2021-06-26 21:45:00"
2,43684,53443,43700,24421,35949,18657,53052,52237,37581,44802,"2021-06-27 17:42:50"
3,33192,54348,27594,47340,28431,35949,43684,47062,44819,42314,"2021-06-28 17:24:58"
4,6964,27594,54348,23913,23647,47062,42312,47296,19640,698,"2021-06-29 17:25:09"
5,53443,43607,53052,43705,43684,49918,43700,30410,21310,36193,"2021-06-30 17:41:52"
6,6964,54348,27594,25852,23647,47062,33192,43705,23913,47296,"2021-07-01 17:24:05"
7,43812,23283,41651,43684,49918,48263,24463,43705,55616,53144,"2021-07-02 17:55:18"
8,35418,22689,43171,53443,19624,36875,49211,42839,30410,53052,"2021-07-03 17:41:47"
9,50087,30410,28431,42839,48263,53443,45118,53052,48301,15882,"2021-07-04 17:46:06"
10,6964,43705,54348,27594,23913,7242,698,23647,44819,47062,"2021-07-06 17:34:31"
11,43705,27208,18657,53443,15882,45118,53052,36193,24421,48301,"2021-07-07 17:38:29"
12,43890,112,58398,43607,24718,698,27113,55616,35949,19983,"2021-07-08 17:15:13"
13,6964,7242,54348,49769,41481,51823,42312,698,41651,23283,"2021-07-09 17:24:27"
14,18657,24463,52237,30410,43171,35495,49498,36610,36097,31947,"2021-07-10 16:59:17"
15,51074,130,19624,22689,44824,23627,51700,18684,48263,49211,"2021-07-11 17:45:26"
16,24463,28431,23913,26846,48263,51823,27365,22657,51700,47252,"2021-07-13 17:37:50"
17,53443,53052,45118,51700,50087,24421,30197,52237,15882,35418,"2021-07-14 17:23:44"
18,53443,53052,45118,48301,18684,51074,52237,50087,24421,130,"2021-07-15 17:24:29"
19,43812,42312,49757,37248,43890,27113,35739,52339,44819,23283,"2021-07-16 16:50:54"
20,43705,49918,53052,43607,53509,30410,53340,53443,41651,23816,"2021-07-17 17:56:27"
21,43705,54348,6964,24718,698,41481,23913,51823,54297,42314,"2021-07-18 19:42:29"
