Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,91,46,87,138,35,1,21,62,17,163
2,45,134,67,46,121,163,90,55,127,74
3,91,46,70,138,21,151,175,17,193,131
4,91,21,112,46,138,118,70,151,101,131
5,56,37,45,46,147,168,67,44,72,157
6,118,21,76,70,46,193,99,138,62,172
7,72,46,121,96,171,131,139,172,62,134
8,78,28,45,7,109,73,10,127,74,172
9,68,147,134,96,80,17,58,75,190,186
10,45,109,10,73,74,127,7,181,19,5
11,121,94,72,29,171,17,134,76,46,143
12,21,46,112,163,87,29,138,131,76,17
13,45,31,181,10,109,127,74,61,73,145
14,31,45,73,109,74,127,145,61,181,10
15,21,175,46,118,70,138,87,193,163,83
16,35,136,3,107,139,134,67,80,88,121
17,31,18,45,73,48,144,145,55,34,10
18,45,109,31,73,127,74,55,181,153,10
19,87,94,21,70,29,69,76,161,62,124
20,68,96,182,45,181,127,73,172,148,131
21,91,21,87,118,70,2,138,69,46,193
