Etappe,R1,R2,R3
1,999,999,999
2,205,97,48
3,205,97,48
4,205,91,97
5,205,91,97
6,205,91,97
7,205,91,97
8,173,21,179
9,16,173,21
10,16,173,21
11,199,16,88
12,16,198,208
13,16,198,208
14,16,198,208
15,16,198,208
16,16,198,208
17,199,16,208
18,199,16,208
19,199,16,208
20,199,16,208
21,199,16,208
