ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst
1,TEAM SKY,18,,0,0
2,MOVISTAR TEAM,18,,0,6
3,TEAM KATUSHA,0,,0,0
4,TEAM TINKOFF-SAXO,0,,0,0
5,ASTANA PRO TEAM,11,,0,0
6,CANNONDALE,0,,0,0
7,BELKIN PRO CYCLING TEAM,27,,0,8
8,OMEGA PHARMA - QUICKSTEP CYCLING TEAM,17,,1,1
9,AG2R LA MONDIALE,53,,0,10
10,GARMIN - SHARP,3,,3,3
11,TEAM GIANT-SHIMANO,1,,0,0
12,LAMPRE - MERIDA,0,,0,0
13,FDJ.FR,2,,0,0
14,LOTTO - BELISOL,4,,0,0
15,BMC RACING TEAM,32,,5,9
16,TEAM EUROPCAR,12,,0,2
17,TREK FACTORY RACING,0,,0,0
18,"COFIDIS, SOLUTIONS CRÉDITS",2,,0,0
19,ORICA GREENEDGE,0,,0,0
20,IAM CYCLING,6,,0,0
21,TEAM NETAPP - ENDURA,8,,0,0
22,BRETAGNE - SECHE ENVIRONNEMENT,5,,0,0
