Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,1161,1083,1214,1131,1227,1063,1073,1182,1109,1134
2,1214,1081,1142,1084,1152,1191,1133,1031,1221,1203
3,1161,1131,1073,1214,1227,1118,1083,1063,1109,1197
4,1083,1073,1214,1197,1182,1118,1109,1161,1019,1155
5,1031,1135,1213,1181,1084,1045,1081,1151,1203,1033
6,1161,1083,1109,1182,1063,1214,1197,1227,1073,1049
7,1167,1158,1064,1026,1031,1069,1202,1201,1145,1142
8,1203,1084,1181,1011,1212,1021,1151,1142,1221,1032
9,1175,1123,1213,1064,1144,1091,1199,1024,1111,1151
10,1152,1214,1163,1031,1019,1158,1157,1034,1145,1133
11,1214,1203,1217,1182,1063,1226,1163,1131,1118,1119
12,1135,1165,1064,1116,1071,1194,1164,1192,1104,1221
13,1175,1203,1146,1112,1035,1221,1202,1148,1082,1167
14,1161,1182,1214,1171,1083,1131,1073,1128,1063,1019
15,1113,1213,1017,1094,1081,1165,1051,1187,1064,1052
16,1214,1182,1118,1171,1152,1223,1192,1087,1163,1031
17,1187,1113,1213,1124,1107,1072,1013,1116,1096,1032
18,1203,1175,1021,1032,1011,1135,1148,1181,1121,1141
19,1011,1181,1142,1121,1141,1021,1084,1201,1203,1032
20,1148,1113,1026,1081,1123,1212,1191,1181,1084,1011
21,1131,1214,1182,1163,1152,1226,1057,1063,1043,1169
