ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst
1,Astana Pro Team,0,AST,0,0
2,Garmin - Sharp,6,GRS,0,0
3,Sky Procycling,15,SKY,0,0
4,Team Argos - Shimano,1,ARG,0,0
5,FDJ,0,FDJ,0,0
6,Radioshack - Leopard,25,RLT,0,6
7,AG2R - La Modiale,19,ALM,0,8
8,Euskatel - Euskadi,1,EUS,0,0
9,Omega Pharma - Quick Step,50,OPQ,0,0
10,Team Europcar,5,EUC,3,3
11,Orica - Greenedge,39,OGE,5,5
12,Cofidis-Solution Credits,3,COF,0,0
13,Movistar Team,33,MOV,0,4
14,Cannondale Pro Cycling,0,CAN,0,0
15,Lotto - Belisol Team,9,LTB,1,1
16,Vacansoleil - DCM Pro,16,VCD,0,0
17,BMC Racing Team,11,BMC,0,0
18,Lampre - Merida,6,LAM,0,0
19,Team Saxo - Tinkoff,43,TST,0,10
20,Belkin Pro Cycling Team,10,BLA,0,2
21,Katusha Team,1,KAT,0,0
22,Sojasun,0,SOJ,0,0
