Etappe,R1,R2,R3
1,91,46,138
2,46,138,91
3,46,91,138
4,46,91,138
5,46,91,138
6,46,138,91
7,46,138,91
8,46,138,91
9,46,138,91
10,46,138,91
11,46,138,91
12,46,138,21
13,46,138,21
14,46,138,21
15,46,138,21
16,46,138,21
17,46,138,21
18,46,138,21
19,46,138,21
20,46,138,21
21,46,21,138
