ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst
1,Saxo Bank - Sungard,6,,0,0
2,Leopard - Trek,31,,0,8
3,Euskatel - Euskadi,3,,0,2
4,Omega Pharma - Lotto,25,,0,0
5,Rabobank Cycling Team,9,,0,0
6,Team Garmin - Cervelo,70,,0,10
7,Pro Team Astana,2,,0,0
8,Team Radioshack,8,,0,0
9,Movistar Team,0,,0,0
10,Liquigas Cannondale,1,,1,1
11,AG2R La Mondiale,20,,0,6
12,Sky Procycling,34,,5,5
13,Quick Step Cycling Team,0,,0,0
14,FDJ,10,,0,0
15,BMC Racing Team,21,,0,0
16,Cofidis Le Credit En Ligne,6,,0,0
17,Lampre - ISD,0,,0,0
18,HTC - Highroad,14,,3,3
19,Team Europcar,12,,0,4
20,Katusha Team,1,,0,0
21,Vacansoleil - DCM,18,,0,0
22,Saur - Sojasun,2,,0,0
