Etappe,R1,R2,R3,R4,R5
1,7234,43607,2534,16199,25907
2,7234,43607,19780,2534,25907
3,7234,22916,23913,23647,16265
4,7234,22916,23913,16265,37581
5,22916,7234,30211,18684,21310
6,22916,7234,30211,18684,21310
7,22916,7234,30211,18684,21310
8,22916,7234,30211,18684,21310
9,22916,30211,25394,15882,7124
10,22916,30211,25394,15882,7124
11,22916,30211,25394,15882,7124
12,30211,22916,25394,15882,18684
13,30211,22916,25394,15882,23893
14,22916,30211,25394,15882,23893
15,22916,30211,25394,15882,18684
16,22916,30211,25394,15882,23893
17,22916,15882,25394,30211,23893
18,22916,25394,15882,23893,30211
19,22916,25394,15882,23893,30211
20,22916,15882,25394,23893,30211
21,22916,15882,25394,23893,30211
