Etappe,R1,R2,R3,R4,R5
1,41,212,168,26,98
2,61,26,227,113,31
3,61,227,116,93,31
4,116,113,117,93,92
5,116,113,117,93,92
6,113,31,116,117,93
7,113,31,116,117,93
8,32,36,139,205,202
9,32,139,205,202,194
10,32,139,205,202,194
11,32,139,205,192,194
12,32,139,205,192,194
13,32,205,192,194,202
14,32,205,192,194,202
15,32,205,192,194,202
16,32,205,192,194,132
17,32,192,194,205,132
18,32,192,132,194,216
19,32,192,132,194,216
20,32,132,216,192,194
21,32,132,216,192,194
