rennerID,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,pnt_geel,pnt_bol,pnt_groen,pnt_wit,pnt_eind,RN,Land,gekozen,gekozen_percentage
130,VALVERDE BELMONTE Alejandro,41,12,0,19,0,19,0,0,0,19,62,Spain,9,19
33754,VERONA QUINTANILLA Carlos,0,12,0,0,0,0,0,0,0,0,68,Spain,0,0
23924,BARGUIL Warren,19,13,0,16,0,16,0,0,0,16,211,France,10,21
20522,BOUET Maxime,0,13,0,0,0,0,0,0,0,0,212,France,0,0
23842,DELAPLACE Anthony,1,13,0,0,0,0,0,0,0,0,213,France,1,2
49498,GESBERT Elie,1,13,0,1,0,0,0,0,1,1,214,France,0,0
698,GREIPEL André,8,13,0,8,8,0,0,0,0,0,215,Germany,7,15
20560,VACHON Florian,0,13,0,0,0,0,0,0,0,0,218,France,0,0
16265,BOASSON HAGEN Edvald,10,14,0,10,10,0,0,0,0,0,201,Norway,4,8
24926,ROSSKOPF Joey,4,5,0,0,0,0,0,0,0,0,116,United States,0,0
21748,KING Benjamin,0,14,0,0,0,0,0,0,0,0,205,United States,0,0
6852,KREUZIGER Roman,5,14,0,5,0,5,0,0,0,5,206,Czech Republic,1,2
23687,TRATNIK Jan,16,3,0,0,0,0,0,0,0,0,48,Slovenia,0,0
35739,VALGREN ANDERSEN Michael,0,14,0,0,0,0,0,0,0,0,208,Denmark,0,0
52181,BERNAL GOMEZ Egan Arley,143,15,0,95,0,50,20,0,25,95,2,Colombia,38,79
21539,CASTROVIEJO NICOLAS Jonathan,10,15,0,0,0,0,0,0,0,0,3,Basque Country,0,0
22553,KWIATKOWSKI Michal,10,15,0,0,0,0,0,0,0,0,4,Poland,2,4
48180,MOSCON Gianni,10,15,0,0,0,0,0,0,0,0,5,Italy,0,0
19624,POELS Wouter,12,15,0,0,0,0,0,0,0,0,6,Netherlands,5,10
23827,ROWE Luke,10,15,1,0,0,0,0,0,0,0,7,United Kingdom,0,0
7234,THOMAS Geraint,108,15,0,45,0,45,0,0,0,45,1,United Kingdom,39,81
23816,VAN BAARLE Dylan,10,15,0,0,0,0,0,0,0,0,8,Netherlands,1,2
28052,BENNETT George,12,16,0,0,0,0,0,0,0,0,82,New Zealand,0,0
47258,DE PLUS Laurens,24,16,0,12,0,0,0,0,12,12,83,Belgium,0,0
41474,GROENEWEGEN Dylan,104,16,0,22,20,0,0,2,0,2,84,Netherlands,42,88
43692,JANSEN Amund Grøndahl,12,16,0,0,0,0,0,0,0,0,85,Norway,0,0
16260,KRUIJSWIJK Steven,86,16,0,42,0,40,2,0,0,42,81,Netherlands,36,75
16199,MARTIN Tony,12,16,1,0,0,0,0,0,0,0,86,Germany,0,0
37248,TEUNISSEN Mike,45,16,0,0,0,0,0,0,0,0,87,Netherlands,0,0
43705,VAN AERT Wout,59,16,1,0,0,0,0,0,0,0,88,Belgium,14,29
23922,DEBUSSCHERE Jens,15,17,0,0,0,0,0,0,0,0,182,Belgium,0,0
20629,DOWSETT Alex,5,17,0,0,0,0,0,0,0,0,183,United Kingdom,0,0
27335,GONCALVES Jose,5,17,0,0,0,0,0,0,0,0,184,Portugal,1,2
23920,HALLER Marco,5,17,0,0,0,0,0,0,0,0,185,Austria,0,0
43890,POLITT Nils,11,17,0,2,0,0,0,0,2,2,186,Germany,0,0
43868,WÜRTZ SCHMIDT Mads,5,17,0,0,0,0,0,0,0,0,187,Denmark,0,0
41482,ZABEL Rick,5,17,1,0,0,0,0,0,0,0,188,Germany,1,2
34458,ZAKARIN Ilnur,5,17,0,0,0,0,0,0,0,0,181,Russia,1,2
24828,ARNDT Nikias,8,18,0,2,2,0,0,0,0,0,142,Germany,0,0
47062,BOL Cees,10,18,1,0,0,0,0,0,0,0,143,Netherlands,0,0
39907,HAGA Chad,6,18,0,0,0,0,0,0,0,0,144,United States,1,2
24421,KELDERMAN Wilco,6,18,1,0,0,0,0,0,0,0,146,Netherlands,5,10
44196,KRAGH ANDERSEN Søren,6,18,1,0,0,0,0,0,0,0,147,Denmark,0,0
49219,KÄMNA Lennard,32,18,0,6,0,0,0,0,6,6,145,Germany,0,0
23913,MATTHEWS Michael,86,18,0,10,0,0,0,10,0,10,141,Australia,23,48
256,ROCHE Nicholas,14,18,0,0,0,0,0,0,0,0,148,Ireland,1,2
42981,CALMEJANE Lilian,0,19,0,0,0,0,0,0,0,0,171,France,1,2
49769,GARCIA CORTINA Ivan,5,3,0,0,0,0,0,0,0,0,45,Spain,0,0
22257,SICARD Romain,0,19,0,0,0,0,0,0,0,0,175,Basque Country,0,0
18742,TAARAMAE Rein,0,19,0,0,0,0,0,0,0,0,176,Estonia,0,0
1259,TERPSTRA Niki,0,19,1,0,0,0,0,0,0,0,177,Netherlands,4,8
44819,TURGIS Anthony,0,19,0,0,0,0,0,0,0,0,178,France,0,0
41184,BERNARD Julien,0,20,0,0,0,0,0,0,0,0,132,France,1,2
44877,CICCONE Giulio,28,20,0,8,0,0,0,0,8,8,133,Italy,1,2
139,DE KORT Koen,0,20,0,0,0,0,0,0,0,0,134,Netherlands,0,0
22888,FELLINE Fabio,10,20,0,0,0,0,0,0,0,0,135,Italy,0,0
18657,MOLLEMA Bauke,12,20,0,0,0,0,0,0,0,0,136,Netherlands,6,13
21310,PORTE Richie,25,20,0,14,0,14,0,0,0,14,131,Australia,11,23
27365,SKUJINS Toms,2,20,0,0,0,0,0,0,0,0,137,Latvia,0,0
23283,STUYVEN Jasper,51,20,0,10,4,0,0,6,0,6,138,Belgium,0,0
30211,ARU Fabio,8,21,0,8,0,8,0,0,0,8,122,Italy,2,4
29756,BYSTROM Sven Erik,0,21,0,0,0,0,0,0,0,0,123,Norway,0,0
