Etappe,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
1,7234,43607,2534,16199,25907,22916,7602,22553,19780,16265
2,19780,25852,698,6964,41474,28431,20516,27594,23913,23647
3,23647,23913,18684,6968,43670,25852,7124,7234,22916,23906
4,25852,16120,698,27594,22724,939,23913,172,43736,7119
5,30211,18684,22916,21310,25394,36875,15882,137,23627,7234
6,19780,25852,698,16120,27594,41474,23913,36436,26853,21591
7,19780,16265,23913,16120,21591,41474,26853,27594,698,36436
8,42981,1345,42839,256,6852,30211,35739,23906,24439,22662
9,15882,23924,22916,25394,30211,7124,28052,23893,18684,23627
10,19780,21591,41474,26853,16120,27594,36436,20886,28431,16265
11,19780,41474,16265,23913,36436,24258,698,27594,20516,19814
12,25394,15882,30211,23893,36097,18684,22916,28052,36875,20727
13,23924,23627,137,23893,36875,18684,22553,22916,30211,15882
14,23913,6968,16265,273,31949,28431,22916,18684,15882,43736
15,18657,24728,20585,43700,23924,256,42981,22657,23898,1334
16,23913,16265,21591,6968,42312,23783,20585,43736,1360,22662
17,43700,15882,22916,25394,23924,23893,18684,137,36097,30211
18,23924,22116,25394,22916,15882,23893,36097,18684,36875,137
19,16265,24828,23783,391,16516,240,49498,22657,415,26846
20,1360,22553,22916,16199,2964,137,24828,15882,43607,240
21,41474,698,16265,27594,16120,1604,24258,26846,26853,391
