Etappe,R1,R2,R3
1,1161,1083,1214
2,1214,1161,1083
3,1161,1214,1131
4,1214,1161,1083
5,1214,1161,1083
6,1161,1083,1214
7,1161,1083,1214
8,1161,1083,1214
9,1161,1214,1083
10,1214,1161,1083
11,1214,1161,1083
12,1214,1161,1083
13,1214,1161,1083
14,1214,1161,1083
15,1214,1161,1083
16,1214,1161,1083
17,1214,1083,1073
18,1214,1083,1073
19,1214,1083,1152
20,1214,1083,1152
21,1214,1083,1152
