ploegID,Naam,Punten,Afkorting,pnt_dag,pnt_laatst,PN
1,AG2R LA MONDIALE,14,,0,0,2
2,ASTANA PRO TEAM,18,,0,4,1
3,BMC RACING TEAM,44,,0,0,7
4,BORA-ARGON 18,0,,0,0,20
5,BRETAGNE-SECHE ENVIRONNEMENT,3,,0,0,21
6,"COFIDIS, SOLUTIONS CRÉDIT",0,,0,0,18
7,ETIXX - QUICK STEP,24,,5,5,12
8,FDJ,3,,0,0,3
9,IAM CYCLING,11,,1,1,19
10,LAMPRE - MERIDA,7,,0,0,16
11,LOTTO - SOUDAL,1,,0,0,8
12,MOVISTAR TEAM,56,,0,10,6
13,MTN - QHUBEKA,25,,3,5,22
14,ORICA GREENEDGE,0,,0,0,11
15,TEAM CANNONDALE - GARMIN,4,,0,0,17
16,TEAM EUROPCAR,1,,0,0,13
17,TEAM GIANT-ALPECIN,0,,0,0,9
18,TEAM KATUSHA,0,,0,0,10
19,TEAM LOTTO NL - JUMBO,10,,0,0,14
20,TEAM SKY,37,,0,8,4
21,TINKOFF - SAXO,31,,0,6,5
22,TREK FACTORY RACING,4,,0,0,15
