Etappe,R1,R2,R3
1,1048,0,0
2,1226,1048,1106
3,1226,1048,1108
4,1226,1048,1108
5,1135,1031,1226
6,1135,1031,1226
7,1135,1031,1167
8,1213,1091,1203
9,1091,1213,1175
10,1091,1213,1175
11,1091,1213,1175
12,1135,1091,1213
13,1135,1213,1064
14,1135,1213,1064
15,1213,1135,1064
16,1213,1135,1064
17,1213,1135,1187
18,1213,1135,1187
19,1213,1135,1113
20,1213,1135,1113
21,1213,1135,1113
