Rugnummer,Naam,Punten,ploegID,Uitgevallen,pnt_laatst,pnt_dag,RN,Land
1122,DE KORT Koen,0,17,0,0,0,84,Netherlands
1123,DEGENKOLB John,86,17,0,14,3,81,Germany
1124,DUMOULIN Tom,21,17,1,0,0,85,Netherlands
1171,DIDIER Laurent,0,22,1,0,0,145,Luxembourg
1126,GESCHKE Simon,28,17,0,0,0,86,Germany
1170,DEVOLDER Stijn,0,22,0,0,0,144,Belgium
1128,PREIDLER Georg,0,17,0,0,0,87,Austria
1129,SINKELDAM Ramon,0,17,1,0,0,88,Netherlands
1130,TIMMER Albert,0,17,0,0,0,89,Netherlands
1131,CARUSO Giampaolo,0,18,0,0,0,92,Italy
1132,KRISTOFF Alexander,35,18,0,11,10,96,Norway
1133,LOSADA ALGUACIL Alberto,0,18,0,0,0,97,Spain
1134,MACHADO Tiago,0,18,0,0,0,98,Portugal
1169,DENNIS Rohan,35,3,0,0,0,63,Australia
1136,RODRIGUEZ OLIVER Joaquin,97,18,0,6,0,91,Spain
1137,GESINK Robert,28,19,0,15,0,131,Netherlands
1138,KELDERMAN Wilco,2,19,0,0,0,132,Netherlands
1139,KRUIJSWIJK Steven,5,19,0,0,0,133,Netherlands
1140,TEN DAM Laurens,0,19,0,0,0,137,Netherlands
1141,VANMARCKE Sep,0,19,0,0,0,139,Belgium
1142,FROOME Christopher,359,20,0,70,0,31,United Kingdom
1143,KENNAUGH Peter,0,20,1,0,0,32,United Kingdom
1168,DE GENDT Thomas,5,11,0,2,0,73,Belgium
1218,DOWSETT Alex,0,12,1,0,0,54,United Kingdom
1146,PORTE Richie,27,20,0,2,0,35,Australia
1147,ROCHE Nicholas,4,20,0,0,0,36,Ireland
1148,THOMAS Geraint,29,20,0,6,0,39,United Kingdom
1149,BASSO Ivan,0,21,1,0,0,42,Italy
1150,BENNATI Daniele,0,21,1,0,0,43,Italy
1151,CONTADOR VELASCO Alberto,38,21,0,18,0,41,Spain
1221,GENE Yohann,0,16,0,0,0,124,France
1153,KREUZIGER Roman,4,21,0,4,0,44,Czech Republic
1154,MAJKA Rafal,26,21,0,0,0,45,Poland
1155,ROGERS Michael,0,21,0,0,0,46,Australia
1156,SAGAN Peter,261,21,0,29,4,47,Slovakia
1157,ARREDONDO MORENO Julian,0,22,0,0,0,142,Colombia
1158,CANCELLARA Fabian,38,22,1,0,0,143,Switzerland
1159,MOLLEMA Bauke,25,22,0,14,0,141,Netherlands
1167,DEBUSSCHERE Jens,0,11,0,0,0,74,Belgium
1162,ZUBELDIA AGIRRE Haimar,0,22,0,0,0,149,Spain
1181,IRIZAR ARANBURU Markel,0,22,0,0,0,146,Spain
1182,JUNGELS Bob,17,22,0,0,0,147,Luxembourg
1222,GRUZDEV Dmitriy,0,2,0,0,0,5,Kazahkstan
1184,KOZONTCHUK DmitrIy,0,18,1,0,0,95,Russia
1185,LAPORTE Christophe,4,6,0,0,0,173,France
1186,LEEZER Tom,0,19,0,0,0,134,Netherlands
1220,GAUDIN Damien,0,1,0,0,0,16,France
1188,MARTENS Paul,6,19,0,0,0,135,Germany
1189,MATE MARDONES Luis Angel,2,6,0,0,0,174,Spain
1190,MEINTJES Louis,6,13,1,0,0,217,South Africa
1219,FONSECA Armindo,0,5,0,0,0,206,France
1193,PAOLINI Luca,0,18,1,0,0,99,Italy
1194,QUINZIATO Manuel,0,3,0,0,0,65,Italy
1195,RAST Grégory,0,22,0,0,0,148,Switzerland
1196,RIBLON Christophe,5,1,0,0,0,17,France
1197,SENECHAL Florian,0,6,0,0,0,176,France
1198,SERPA PEREZ Jose Rodolfo,0,10,0,0,0,158,Colombia
1199,SICARD Romain,4,16,0,0,0,127,France
1200,SIEBERG Marcel,0,11,0,0,0,78,Germany
1201,SIMON Julien,7,6,0,0,0,177,France
1202,SOUPE Geoffrey,0,6,0,0,0,178,France
1203,TAARAMAE Rein,0,2,1,0,0,8,Estonia
1204,TANKINK Bram,0,19,0,0,0,136,Netherlands
1205,TUFT Svein,0,14,0,0,0,106,Canada
1206,VALGREN ANDERSEN Michael,0,21,1,0,0,49,Denmark
1207,VAN BAARLE Dylan,0,15,0,0,0,169,Netherlands
1208,VAN BILSEN Kenneth,0,6,0,0,0,179,Belgium
1209,VAN EMDEN Jos,8,19,0,0,0,138,Netherlands
1215,BAUER Jack,0,15,1,0,0,162,New Zealand
1211,VAUGRENARD Benoît,0,8,0,0,0,29,France
1212,VOECKLER Thomas,7,16,0,0,0,129,France
1213,WYSS Danilo,0,3,0,0,0,69,Switzerland
1229,NAVARDAUSKAS Ramunas,6,15,0,1,1,168,Lithuania
1230,PERICHON Pierre-Luc,0,5,0,0,0,208,France
1231,PLAZA MOLINA Ruben,25,10,0,0,0,156,Spain
1232,POELS Wouter,2,20,0,0,0,34,Netherlands
1233,QUEMENEUR Perrig,0,16,0,0,0,126,France
1234,ROWE Luke,0,20,0,0,0,37,United Kingdom
1235,STANNARD Ian,0,20,0,0,0,38,United Kingdom
1236,TOSATTO Matteo,0,21,0,0,0,48,Italy
1237,TULIK Angelo,0,16,0,0,0,128,France
1238,VALLS FERRI Rafael,0,10,0,0,0,159,Spain
1239,WEENING Pieter,0,14,0,0,0,107,Netherlands
