Etappe,R1,R2,R3
1,1169,1048,1158
2,1080,1156,1158
3,1080,1156,1142
4,1080,1156,1123
5,1080,1156,1123
6,1080,1156,1123
7,1080,1156,1044
8,1156,1080,1044
9,1156,1080,1044
10,1080,1156,1044
11,1156,1080,1123
12,1156,1080,1123
13,1156,1080,1123
14,1156,1080,1123
15,1156,1080,1123
16,1156,1080,1123
17,1156,1080,1123
18,1156,1080,1123
19,1156,1080,1123
20,1156,1080,1123
21,1156,1080,1123
